ac	status	scope	evidence
AC-1	PASS	GENERIC_PRODUCT	AC1-004,AC1-005,AC1-006,AC1-007,REL-ACC-01,REL-ACC-02,REL-ACC-04,REL-ACC-06
AC-2	BLOCKED_EXTERNAL	MOCK_CONTRACT_ONLY	TDD10-8,REL-ACC-03
AC-3	BLOCKED_EXTERNAL	FRAMEWORK_ONLY	TDD10-9
AC-4	BLOCKED_EXTERNAL	MOCK_CONTRACT_ONLY	TDD10-10,REL-ACC-03
AC-5	NOT_SUPPORTED_BY_SCOPE	NEGATIVE_CONTRACT	TDD10-11,REL-ACC-07
AC-6	NOT_SUPPORTED_BY_SCOPE	NEGATIVE_CONTRACT	TDD10-12,REL-ACC-07
AC-7	BLOCKED_EXTERNAL	MOCK_CONTRACT_ONLY	TDD10-13
AC-8	PASS	ENGINEERING_ROBUSTNESS	TDD10-14
AC-9	BLOCKED_EXTERNAL	PLATFORM_PROCEDURE_REQUIRED	TDD10-15
AC-10	NOT_SUPPORTED_BY_SCOPE	NEGATIVE_CONTRACT	TDD10-16,REL-ACC-07
AC-11	BLOCKED_EXTERNAL	GENERIC_DOCS_COMPLETE	TDD10-17,REL-ACC-08
